"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,の取れた,は良好です,が良いので,はいいと,の高い,はいいです,は良い,が悪いと,が高い,のとれた,が悪く,は良く,もいいです,も良い,がいいと,を考えれば,が悪いです,もいい,の悪い,がいいので,は最高です,が良くて,は抜群です,に優れた,も良いので,もありません,がよいです,も良好です,がいいですね,は感じです
weight,"",0.00253768755529283,0.00159457872755309,0.00108872588724173,0.0009578313221496,0.000927514903602594,0.000856246477348984,0.000819346416369325,0.000783654971647531,0.0006933055722957,0.000646650308222791,0.000602486559383797,0.000567997722481285,0.000540868430212968,0.000524558644577298,0.000508918201503119,0.000487847230716301,0.000467163768152652,0.00043234972203428,0.00041862042291259,0.000406331984189642,0.000405770372918907,0.000403893883773668,0.000357683079297866,0.000354466787467095,0.000342511250312614,0.000315448626224631,0.000310605281250458,0.00029337507833326,0.000285912778896453,0.000285542114276268,0.000283127600658877,0.000282012506015614,0.000280567190244013,0.000261855382782592,0.00024404327758095,0.00023834859169106,0.000233007749565959,0.000219127591065351,0.000213990319043037,0.0002130605406173,0.000199989199512624,0.000197740724493765,0.000190176566394703,0.000189472759598181,0.000186881449613706,0.000181323243368816,0.000181069827822845,0.000177929389100529,0.000170517556073853,0.000165647570206763
反応,0.000162504010269609,2,0,1,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,0.000156648825340272,0,3,0,1,0,0,0,1,0,0,1,0,4,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,2,0,0,1,0,2,0,0,0,2
液晶,0.000155770582372249,1,1,0,0,0,7,0,2,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
ボケ味,0.000154284456144105,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,2,3,0,2,0,0
解像度,0.000149383308023299,0,1,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,1,2,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,0.000148143175726564,0,1,0,1,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1
位置,0.000145817158945424,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
描写力,0.000140203537361872,0,0,0,0,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0
コントラスト,0.000134554810161257,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ボケ,0.000132909399532042,0,1,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1
AF,0.000130942017775104,0,1,0,1,0,2,0,0,1,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0
音,0.000126022599854477,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,0.000125765474482488,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,0.000121129950486136,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色合い,0.000119284123825433,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
補正,0.000118334215765557,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
バッテリー,0.000117536854067978,0,1,0,0,0,5,0,1,0,0,0,0,9,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
解像感,0.000113234120177485,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ホールド,0.000109076471609451,0,1,0,0,0,5,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
満足度,0.00010758138213788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
場合,0.000101851916216628,0,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AF精度,0.000101348600355989,1,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
見た目,9.73143669095704e-05,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
