"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,レスポンス,評判,発色,レンズ,描写,性能,色乗り,不満,相性,感触,天気,もち,精度,色のり,ホールド性,価格,感じ,出来,質,視認性,カメラ,感度,色,ヌケ,機能,大きさ,液晶,重さ,切れ,値段,重量バランス,描写力,操作感,ボケ味,バッテリー,画像,AF,補正,反応,解像度,ボケ,位置,コントラスト,取り回し,ホールド,条件,音,問題
weight,"",0.0084874316228562,0.00678389090669235,0.00538706268007784,0.00423805390965319,0.00381749230878661,0.00371088019353279,0.00303108569045306,0.00217864872843701,0.00197789212145373,0.00191699080568678,0.00190232228804512,0.00182310220632081,0.00139693273428093,0.00136101845043789,0.00116780855021696,0.0011546421777237,0.0010998481336908,0.00104968543793964,0.000947636598454037,0.000923125425005806,0.000760776364872017,0.000726825214486184,0.000714807421625144,0.000699921081747927,0.000690386913439024,0.000689012670266369,0.000665989773883035,0.000623081152038569,0.000575332214165742,0.000558633035990412,0.000556844304207032,0.000530431607232818,0.000487014457620154,0.000480829329563787,0.000475754142059855,0.000468738348142586,0.000464427845555988,0.000459321034394479,0.000450478910074109,0.000449190732513779,0.000435949350880795,0.000434035923911854,0.000430482533930997,0.000428550065893255,0.000422939771202954,0.000421113431685573,0.000413825619669438,0.000413425091541461,0.000412254099262503,0.000409506565701548,0.000408235167558941,0.00040175012653625,0.000380952421675795,0.000374593875042479,0.000366391956033105,0.000347745978308075,0.000345117191561245,0.00033553845683197,0.000330906831456167,0.000327858262867806
が悪いと,0.000386588392162811,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0
もいいです,0.000367919084675109,0,9,1,3,6,1,3,0,5,0,3,0,1,0,1,0,1,0,0,0,2,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0
は良く,0.000363673864667997,3,7,1,2,2,4,1,2,0,0,0,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
が悪く,0.000361851546926895,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0
のとれた,0.000354420221613775,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,0.00034085419701561,1,10,1,8,4,1,1,2,6,0,2,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
がいいと,0.000325979900757795,4,1,3,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
が悪いです,0.000304396239448442,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
を考えれば,0.000302678092143044,5,2,0,1,0,3,1,2,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,12,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もいい,0.000294310392443231,2,4,1,5,0,0,3,3,0,1,2,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,1,0,0,0
がいいので,0.000278411640059003,0,1,1,2,6,5,1,2,0,1,0,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
の悪い,0.00027133765477741,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
は最高です,0.000267218516870904,0,7,2,1,1,1,0,4,4,9,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
もありません,0.000264879824660197,0,6,1,1,0,1,5,8,0,0,1,0,0,0,1,1,0,0,0,15,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2,1,1,0,0,0,0,1,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,21
に優れた,0.000253984469179263,0,1,0,2,0,5,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,0.000252172581630415,1,2,1,0,2,1,1,2,1,0,0,0,1,0,0,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,0.000247309263014181,1,1,0,6,1,17,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,0.00024280753771044,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
がよいです,0.000228048630595312,0,0,5,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,0.000226952348393645,0,2,1,3,1,0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.00022647053402739,0,2,0,3,2,2,3,1,4,0,5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,2,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,1,1,1,0,0,0,0,0
はいいですね,0.000223744452925591,2,2,0,1,2,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0
がいいですね,0.000215152626856556,1,1,4,1,0,0,0,0,2,0,4,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
があり,0.000210565742300044,0,1,0,1,0,0,2,0,4,0,0,1,0,0,1,5,0,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,10,1,0,4,4,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,2,2
が感じます,0.000206476665720686,3,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
は悪いです,0.000205487316234382,1,3,0,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0
になります,0.000198640091129896,1,5,0,0,0,0,0,3,0,0,1,2,0,0,3,3,7,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,3,0,5,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
はありませんが,0.000197940866783061,0,4,0,1,1,7,2,0,1,0,2,0,0,0,0,2,0,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,1,0,0,0,0,0,1,1,3,9,0,1,0,0,0,0,0,0,0,8
も満足しています,0.00018749845432319,1,11,0,2,1,0,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
はありますが,0.000187005060022358,0,9,0,3,1,0,0,1,3,0,4,0,0,0,0,2,1,0,0,17,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,4,1,1,4,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,1,0,1,6
が良くない,0.000185469725449443,1,1,1,1,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はあります,0.000183598847411866,0,6,0,1,0,1,3,1,6,0,2,0,0,0,0,4,5,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,2,1,2,0,0,0,4,0,0,0,2,3,2,0,0,2,0,0,0,0,0,0,1
はします,0.000178797500016343,1,7,0,0,2,0,3,2,1,0,3,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,2,0
があります,0.000176438903372251,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,22,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,4
は高いと,0.000176062338743357,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
