"",weight,の高い,の良い,は高いです,が良い,が高い,は高いと,が悪い,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,が良いです,もよく,がいいです,は思います,がいい,が良いと,が高く,は高い,がよい,も良いと,は最高です,が高いと,がよく,のよい,も良いです,も高く,があります,はいいと,は良好です,はいいです,が高いので,が良いので,も良い,は良い,もいいです,はあります,は5です,が悪いと,が悪いです,は抜群です,も良好です,は悪いです,が弱いです,がいいですね,は素晴らしいです,に優れている
weight,"",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ボケ味,0.00880108173749796,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0
価格,0.00879202503017575,0,0,1,0,9,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.00878055248690609,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CP,0.0086528876438625,4,0,1,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
解像感,0.00854586705891591,1,0,0,0,2,2,1,1,0,2,1,2,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
値段,0.00835432895131079,1,0,1,0,9,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
不満,0.00829961704279952,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
汎用性,0.00827308573717147,2,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
バッテリー,0.00821125244785714,0,0,0,1,1,0,0,5,0,0,1,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0
ホールド性,0.00811832939096892,0,0,0,1,1,0,2,2,4,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
もち,0.00756740852568503,0,0,0,1,0,0,7,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
感じ,0.00755760898782679,0,0,0,4,0,0,0,3,0,0,1,0,6,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,5,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
液晶,0.00730205087799971,0,1,0,1,0,0,0,7,0,0,2,0,1,0,0,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
操作感,0.00687972313652201,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0
カメラ,0.00671159850080407,0,3,0,0,1,1,0,2,0,0,1,0,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0
重さ,0.0063934723199145,0,0,0,3,0,0,0,2,0,2,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
機動性,0.00628663910041367,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
視認性,0.00625778405164738,0,2,0,2,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
機能,0.00624583607030448,0,0,1,3,0,0,1,0,0,0,1,0,4,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0
