"",weight,の良い,の高い,が良い,が良く,も良く,が悪い,は良いです,が高い,は良いと,が良いです,は高いです,はありません,がいいです,もよく,を考えると,がいい,が良いと,は高いと,のよい,も良いと,がよく,は思います,がよい,に優れた,も良いです,は良好です,の取れた,が高いです,はいいと,が良いので,はいいです,は最高です,は良い,が高く,が悪いと,は良く,もいいです,を考えれば,が悪く,も良い,は高い,のとれた,も高く,がいいと,もいい,が悪いです,もありません,が高いと,がいいので,があります,があり,の悪い,が高いので,は感じです,は抜群です,はしました,はあります,はいいですね,が良くて,も良いので,も良好です,がよいです,はありますが,はします,はありませんが,がいいですね,のある,が感じます,になります,は悪いです
weight,"",0.000287331187972092,0.00022833602351679,0.000187638648781224,0.000122689520748038,0.0001126675667912,0.000111565985739034,0.000106694775548067,0.000105166104722134,9.88538168128057e-05,9.32221280326079e-05,9.08738247708253e-05,8.40939099214992e-05,7.91108134892975e-05,7.55110250766871e-05,7.05019453375493e-05,6.94682114409705e-05,6.50853866406621e-05,6.35692431831592e-05,5.94926878412664e-05,5.6333729597814e-05,5.59562609477129e-05,5.44031069061083e-05,5.29455842351545e-05,5.12702642149233e-05,5.01666951749638e-05,4.50352833438152e-05,4.42058872227698e-05,4.28734734457977e-05,4.27962502260038e-05,4.22080570530287e-05,3.8950808139976e-05,3.72986346186923e-05,3.57937494719933e-05,3.5133287705507e-05,3.47805532413615e-05,3.33083303844318e-05,3.31815532747985e-05,3.2971963179285e-05,3.25992525550919e-05,3.16239809302663e-05,3.13234998863897e-05,3.11078465641714e-05,2.93573861404276e-05,2.84908585015861e-05,2.75801333950045e-05,2.67172903910062e-05,2.66959813301712e-05,2.66312789732144e-05,2.55980950132407e-05,2.53079515972209e-05,2.50993937671097e-05,2.45091633617473e-05,2.4181082176923e-05,2.38156405831264e-05,2.37605606782425e-05,2.36448452566498e-05,2.31952983084178e-05,2.27325541671676e-05,2.22878070917733e-05,2.17752815613572e-05,2.0340567862722e-05,2.00141619945646e-05,1.99802276297172e-05,1.98302896452572e-05,1.93890677825757e-05,1.91635634733382e-05,1.87900173944676e-05,1.85936900156989e-05,1.8586111590757e-05,1.79118523975973e-05
質,3.09921978440184e-05,4,2,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,3.06619524779234e-05,0,0,1,0,0,7,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0
感じ,2.98232851913774e-05,0,0,4,0,0,0,3,0,1,1,0,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,1,2,1,0,0,0,1,6,4,0,1,0,0,22,0
感度,2.85334052094658e-05,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
解像感,2.78428404681971e-05,0,1,0,0,2,1,1,2,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,8,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,6,0,0,0
視認性,2.71740381471054e-05,2,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,2.65848750657409e-05,0,0,3,0,0,1,0,0,1,0,1,4,0,0,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,1,0,0,0,0,1,0,2,0,0,2,10,0,0,2,0,0,1,0,0,0,0,0,4,0,6,0,1,0,0,0
出来,2.61859289473595e-05,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,2.6046593130056e-05,3,0,0,0,0,0,2,1,1,0,0,6,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3,1,1,0,0,0,1,2,1,0,0,0,3,0
描写力,2.57230875872086e-05,0,0,0,0,1,0,1,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,4,3,0,0,1,0,0,0,0,0,4,1,0,0
液晶,2.35654393696321e-05,1,0,1,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,1,1,1,0,0,1,0,0
大きさ,2.23247095386583e-05,0,0,0,0,1,0,2,0,1,2,0,2,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,1,0,1,0
バッテリー,2.18632322996364e-05,0,0,1,0,0,0,5,1,1,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,6,1,0,0,0,0,3
重さ,2.18539573885138e-05,0,0,3,0,2,0,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,1,0,0,0
ヌケ,2.18510702624503e-05,5,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色,2.15849737393494e-05,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0
切れ,2.09304434715442e-05,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
補正,2.05997439190038e-05,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,9,0,7,0,0,1
CP,2.01407048045741e-05,0,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,2.00086150750396e-05,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,2,0,0,0
