"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,がよく,も良いと,のよい,を考えると,も良いです,がよい,は良好です,の取れた,は思います,はいいと,が良いので,はいいです,もいいです,が悪く,は良く,は良い,の高い,のとれた,も良い,が悪いと,が悪いです,が高い,がいいと,がいいので,を考えれば,もいい,は抜群です
weight,"",0.00701446691503757,0.00560368880336842,0.00372771993006606,0.00350147107933813,0.00319752704729802,0.00306987250614463,0.0028826363443633,0.00281549741115337,0.00243029463699315,0.00220671181268732,0.0021104053831213,0.00197002696067489,0.00187855373041236,0.00173157612232526,0.00163204030444527,0.00162593814826192,0.00158981011831144,0.00151632669545616,0.00150453625993817,0.00146228253962271,0.00139593430777851,0.00138567018210582,0.00123333971951527,0.00119573002659625,0.00103591615948443,0.00103383757820925,0.001025841583515,0.00100939789869078,0.00100627517007159,0.000993132722462086,0.000982324142510801,0.00096003844790961,0.000935561355349933,0.000911240386057739,0.000868790061161554,0.000821638563131062,0.000745729410170363,0.000722496325867545,0.000714669324830753,0.000695663640831096
取り回し,0.000425402875826061,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ボケ,0.00041783672271243,0,1,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
画像,0.000409565766850937,0,1,1,0,0,2,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
描写力,0.0004043208307565,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0
補正,0.000388681717208489,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
解像感,0.000386948310284721,0,0,1,0,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
ホールド,0.000382849280578619,0,1,0,0,0,5,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
色合い,0.000371609666870014,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
AF,0.000368678134641308,0,1,1,0,0,2,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
バッテリー,0.000361164520237494,0,1,0,0,0,5,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
条件,0.000359039540826954,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ボケ味,0.000338765910410438,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AF精度,0.000337173963435371,1,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
場合,0.000319361606011715,0,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
機能性,0.000298541327438763,0,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
・操作性,0.00029301779416001,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
電池持ち,0.000282902717909518,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
完成度,0.000279094280948303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,11,0,0,0,0,0
グリップ感,0.000277500141546014,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
満足度,0.000275366564282457,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,7,0,0,0,0,0
