"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,もよく,がいい,が良いと,がよく,のよい,を考えると,は思います,がよい,も良いです,も良いと,は良好です,の高い,はいいと,が良いので,の取れた,はいいです,は良い,もいいです,も良い,が高い,が悪いと,は良く,が悪く,が悪いです,のとれた,がいいと,もいい,がいいので,もありません,を考えれば,は最高です,は抜群です,は感じです,が良くて,も良いので,はいいですね,も良好です,は悪いです,があり,の悪い,に優れた,はありませんが,がよいです,がいいですね,はありますが,も満足しています,があります,はあります,になります,はします,が感じます,が良くない,はよいです,は高いと,もなく,は良いのですが,のある,にありません,といい,が悪いので
weight,"",0.0123360958510382,0.0090513589793129,0.00601318627639802,0.00583064005729555,0.00547192704119849,0.00526582724950698,0.00455596693965877,0.00451930881779409,0.00443634182077284,0.00391356893916329,0.00366581818787624,0.00344859249495796,0.00303418713065451,0.00269567912987842,0.00266656950913776,0.00263980873595949,0.00263490833033136,0.00263474096004585,0.00258870282183956,0.00249395966031822,0.00222792013714812,0.00211926872925579,0.00203298770527176,0.00196391000023834,0.00194616107224521,0.00188630922787012,0.00178632543759181,0.00177569489671501,0.00172473189533366,0.00171392305861048,0.001657775405629,0.00163002915339658,0.00161427690496761,0.00144911072494725,0.00136952075454293,0.00136019805198776,0.00129726552188407,0.00126317158654907,0.00126220965326515,0.00122028069057098,0.00120483762177989,0.00111686026328219,0.00110888911411582,0.00109823601108905,0.00108542121721243,0.00106074812843383,0.00104967545324297,0.00102680247862712,0.00102307049036542,0.00102124008046949,0.00100708089673506,0.000997779179668896,0.000962842258887644,0.000947714986924215,0.000947278292357964,0.000910175544676022,0.000906604242001831,0.000905516871027531,0.000888264960561956,0.000886409491361125,0.000884195755507337,0.000870605290134284,0.000834335715560714,0.000806260604393739,0.000793458001598336,0.000790620953302357,0.000777294096407719,0.000774459328248808,0.000758695597177982,0.00075386578928316
重量バランス,0.000979925187383352,0,0,1,3,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AF,0.000975091063570381,0,1,1,0,0,2,0,0,6,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0
描写力,0.000972835264042654,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,0
操作感,0.000972278992071624,0,1,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,0.000944782152576228,4,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
問題,0.000921662028019397,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,6,0,4,1,0,0,0,0,0,0,12,0,2,0,0,0
反応,0.000903150837710439,2,0,2,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
満足度,0.000901911175591421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0
解像感,0.000894608841117664,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,1,0,4,2,0,0,0,0,0,2,1,1,6,0,3,0
ボケ,0.000893661975978797,0,1,0,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0
位置,0.000874703925216153,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,0.000831151035599974,0,1,0,0,0,5,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
コントラスト,0.000815045254902482,1,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AF精度,0.000813642198182689,1,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
色合い,0.000808249821408889,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0
音,0.000787264533455303,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
取り回し,0.000762582701814712,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,0.000749210382929592,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
完成度,0.000743519117378996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0
機能性,0.000713046740547887,0,0,0,1,0,3,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0
シャッター音,0.000657024555666558,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
見た目,0.000656618392445434,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
場合,0.000654649607308088,0,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,0.000617076810612665,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
機種,0.000570857162893038,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0
表現力,0.000553832765377088,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
